Date,Period
188907,Predict
188908,Predict
188909,Predict
188910,Predict
188911,Predict
188912,Predict
189001,Predict
189002,Predict
189003,Predict
189004,Predict
189005,Predict
189006,Predict
189007,Predict
189008,Predict
189009,Predict
189010,Predict
189011,Predict
189012,Predict
189101,Predict
189102,Predict
189103,Predict
189104,Predict
189105,Predict
189106,Predict
189107,Predict
189108,Predict
189109,Predict
189110,Predict
189111,Predict
189112,Predict
189201,
189202,
189203,
189204,
189205,
189206,
189207,Predict
189208,Predict
189209,Predict
189210,Predict
189211,Predict
189212,Predict
189301,Predict
189302,Predict
189303,Predict
189304,Predict
189305,Predict
189306,Predict
189307,Predict
189308,Predict
189309,Predict
189310,Predict
189311,Predict
189312,Predict
189401,Predict
189402,Predict
189403,Predict
189404,Predict
189405,Predict
189406,Predict
189407,Predict
189408,Predict
189409,Predict
189410,Predict
189411,Predict
189412,Predict
189501,Predict
189502,Predict
189503,Predict
189504,Predict
189505,Predict
189506,Predict
189507,Predict
189508,Predict
189509,Predict
189510,Predict
189511,Predict
189512,Predict
189601,Predict
189602,Predict
189603,Predict
189604,Predict
189605,Predict
189606,Predict
189607,Predict
189608,Predict
189609,Predict
189610,Predict
189611,Predict
189612,Predict
189701,Predict
189702,Predict
189703,Predict
189704,Predict
189705,Predict
189706,Predict
189707,Predict
189708,Predict
189709,Predict
189710,Predict
189711,Predict
189712,Predict
189801,Predict
189802,Predict
189803,Predict
189804,Predict
189805,Predict
189806,Predict
189807,Predict
189808,Predict
189809,Predict
189810,Predict
189811,Predict
189812,Predict
189901,Predict
189902,Predict
189903,Predict
189904,Predict
189905,Predict
189906,Predict
189907,Predict
189908,Predict
189909,Predict
189910,Predict
189911,Predict
189912,Predict
190001,Predict
190002,Predict
190003,Predict
190004,Predict
190005,Predict
190006,Predict
190007,Predict
190008,Predict
190009,Predict
190010,Predict
190011,Predict
190012,Predict
190101,Predict
190102,Predict
190103,Predict
190104,Predict
190105,Predict
190106,Predict
190107,Predict
190108,Predict
190109,Predict
190110,Predict
190111,Predict
190112,Predict
190201,Predict
190202,Predict
190203,Predict
190204,Predict
190205,Predict
190206,Predict
190207,Predict
190208,Predict
190209,Predict
190210,Predict
190211,Predict
190212,Predict
190301,Predict
190302,Predict
190303,Predict
190304,Predict
190305,Predict
190306,Predict
190307,Predict
190308,Predict
190309,Predict
190310,Predict
190311,Predict
190312,Predict
190401,Predict
190402,Predict
190403,Predict
190404,Predict
190405,Predict
190406,Predict
190407,Predict
190408,Predict
190409,Predict
190410,Predict
190411,Predict
190412,Predict
190501,Predict
190502,Predict
190503,Predict
190504,Predict
190505,Predict
190506,Predict
190507,Predict
190508,Predict
190509,Predict
190510,Predict
190511,Predict
190512,Predict
190601,Predict
190602,Predict
190603,Predict
190604,Predict
190605,Predict
190606,Predict
190607,Predict
190608,Predict
190609,Predict
190610,Predict
190611,Predict
190612,Predict
190701,Predict
190702,Predict
190703,Predict
190704,Predict
190705,Predict
190706,Predict
190707,Predict
190708,Predict
190709,Predict
190710,Predict
190711,Predict
190712,Predict
190801,Predict
190802,Predict
190803,Predict
190804,Predict
190805,Predict
190806,Predict
190807,Predict
190808,Predict
190809,Predict
190810,Predict
190811,Predict
190812,Predict
190901,Predict
190902,Predict
190903,Predict
190904,Predict
190905,Predict
190906,Predict
190907,Predict
190908,Predict
190909,Predict
190910,Predict
190911,Predict
190912,Predict
191001,Predict
191002,Predict
191003,Predict
191004,Predict
191005,Predict
191006,Predict
191007,Predict
191008,Predict
191009,Predict
191010,Predict
191011,Predict
191012,Predict
191101,Predict
191102,Predict
191103,Predict
191104,Predict
191105,Predict
191106,Predict
191107,Predict
191108,Predict
191109,Predict
191110,Predict
191111,Predict
191112,Predict
191201,Predict
191202,Predict
191203,Predict
191204,Predict
191205,Predict
191206,Predict
191207,Predict
191208,Predict
191209,Predict
191210,Predict
191211,Predict
191212,Predict
191301,Predict
191302,Predict
191303,Predict
191304,Predict
191305,Predict
191306,Predict
191307,Predict
191308,Predict
191309,Predict
191310,Predict
191311,Predict
191312,Predict
191401,Predict
191402,Predict
191403,Predict
191404,Predict
191405,Predict
191406,Predict
191407,Predict
191408,Predict
191409,Predict
191410,Predict
191411,Predict
191412,Predict
191501,Predict
191502,Predict
191503,Predict
191504,Predict
191505,Predict
191506,Predict
191507,Predict
191508,Predict
191509,Predict
191510,Predict
191511,Predict
191512,Predict
191601,Predict
191602,Predict
191603,Predict
191604,Predict
191605,Predict
191606,Predict
191607,Predict
191608,Predict
191609,Predict
191610,Predict
191611,Predict
191612,Predict
191701,Predict
191702,Predict
191703,Predict
191704,Predict
191705,Predict
191706,Predict
191707,Predict
191708,Predict
191709,Predict
191710,Predict
191711,Predict
191712,Predict
191801,Predict
191802,Predict
191803,Predict
191804,Predict
191805,Predict
191806,Predict
191807,Predict
191808,Predict
191809,Predict
191810,Predict
191811,Predict
191812,Predict
191901,Predict
191902,Predict
191903,Predict
191904,Predict
191905,Predict
191906,Predict
191907,Predict
191908,Predict
191909,Predict
191910,Predict
191911,Predict
191912,Predict
192001,Predict
192002,Predict
192003,Predict
192004,Predict
192005,Predict
192006,Predict
192007,Predict
192008,Predict
192009,Predict
192010,Predict
192011,Predict
192012,Predict
192101,Predict
192102,Predict
192103,Predict
192104,Predict
192105,Predict
192106,Predict
192107,Predict
192108,Predict
192109,Predict
192110,Predict
192111,Predict
192112,Predict
192201,Predict
192202,Predict
192203,Predict
192204,Predict
192205,Predict
192206,Predict
192207,Predict
192208,Predict
192209,Predict
192210,Predict
192211,Predict
192212,Predict
192301,Predict
192302,Predict
192303,Predict
192304,Predict
192305,Predict
192306,Predict
192307,Predict
192308,Predict
192309,Predict
192310,Predict
192311,Predict
192312,Predict
192401,Predict
192402,Predict
192403,Predict
192404,Predict
192405,Predict
192406,Predict
192407,Predict
192408,Predict
192409,Predict
192410,Predict
192411,Predict
192412,Predict
192501,Predict
192502,Predict
192503,Predict
192504,Predict
192505,Predict
192506,Predict
192507,Predict
192508,Predict
192509,Predict
192510,Predict
192511,Predict
192512,Predict
192601,Predict
192602,Predict
192603,Predict
192604,Predict
192605,Predict
192606,Predict
192607,Predict
192608,Predict
192609,Predict
192610,Predict
192611,Predict
192612,Predict
192701,Predict
192702,Predict
192703,Predict
192704,Predict
192705,Predict
192706,Predict
192707,Predict
192708,Predict
192709,Predict
192710,Predict
192711,Predict
192712,Predict
192801,Predict
192802,Predict
192803,Predict
192804,Predict
192805,Predict
192806,Predict
192807,Predict
192808,Predict
192809,Predict
192810,Predict
192811,Predict
192812,Predict
192901,Predict
192902,Predict
192903,Predict
192904,Predict
192905,Predict
192906,Predict
192907,Predict
192908,Predict
192909,Predict
192910,Predict
192911,Predict
192912,Predict
193001,Predict
193002,Predict
193003,Predict
193004,Predict
193005,Predict
193006,Predict
193007,Predict
193008,Predict
193009,Predict
193010,Predict
193011,Predict
193012,Predict
193101,Predict
193102,Predict
193103,Predict
193104,Predict
193105,Predict
193106,Predict
193107,Predict
193108,Predict
193109,Predict
193110,Predict
193111,Predict
193112,Predict
193201,Predict
193202,Predict
193203,Predict
193204,Predict
193205,Predict
193206,Predict
193207,Predict
193208,Predict
193209,Predict
193210,Predict
193211,Predict
193212,Predict
193301,Predict
193302,Predict
193303,Predict
193304,Predict
193305,Predict
193306,Predict
193307,Predict
193308,Predict
193309,Predict
193310,Predict
193311,Predict
193312,Predict
193401,Predict
193402,Predict
193403,Predict
193404,Predict
193405,Predict
193406,Predict
193407,Predict
193408,Predict
193409,Predict
193410,Predict
193411,Predict
193412,Predict
193501,Predict
193502,Predict
193503,Predict
193504,Predict
193505,Predict
193506,Predict
193507,Predict
193508,Predict
193509,Predict
193510,Predict
193511,Predict
193512,Predict
193601,Predict
193602,Predict
193603,Predict
193604,Predict
193605,Predict
193606,Predict
193607,Predict
193608,Predict
193609,Predict
193610,Predict
193611,Predict
193612,Predict
193701,Predict
193702,Predict
193703,Predict
193704,Predict
193705,Predict
193706,Predict
193707,Predict
193708,Predict
193709,Predict
193710,Predict
193711,Predict
193712,Predict
193801,Predict
193802,Predict
193803,Predict
193804,Predict
193805,Predict
193806,Predict
193807,Predict
193808,Predict
193809,Predict
193810,Predict
193811,Predict
193812,Predict
193901,Predict
193902,Predict
193903,Predict
193904,Predict
193905,Predict
193906,Predict
193907,Predict
193908,Predict
193909,Predict
193910,Predict
193911,Predict
193912,Predict
194001,Predict
194002,Predict
194003,Predict
194004,Predict
194005,Predict
194006,Predict
194007,Predict
194008,Predict
194009,Predict
194010,Predict
194011,Predict
194012,Predict
194101,Predict
194102,Predict
194103,Predict
194104,Predict
194105,Predict
194106,Predict
194107,Predict
194108,Predict
194109,Predict
194110,Predict
194111,Predict
194112,Predict
194201,Predict
194202,Predict
194203,Predict
194204,Predict
194205,Predict
194206,Predict
194207,Predict
194208,Predict
194209,Predict
194210,Predict
194211,Predict
194212,Predict
194301,Predict
194302,Predict
194303,Predict
194304,Predict
194305,Predict
194306,Predict
194307,Predict
194308,Predict
194309,Predict
194310,Predict
194311,Predict
194312,Predict
194401,Predict
194402,Predict
194403,Predict
194404,Predict
194405,Predict
194406,Predict
194407,Predict
194408,Predict
194409,Predict
194410,Predict
194411,Predict
194412,Predict
194501,Predict
194502,Predict
194503,Predict
194504,Predict
194505,Predict
194506,Predict
194507,Predict
194508,Predict
194509,Predict
194510,Predict
194511,Predict
194512,Predict
194601,Predict
194602,Predict
194603,Predict
194604,Predict
194605,Predict
194606,Predict
194607,Predict
194608,Predict
194609,Predict
194610,Predict
194611,Predict
194612,Predict
194701,Predict
194702,Predict
194703,Predict
194704,Predict
194705,Predict
194706,Predict
194707,Predict
194708,Predict
194709,Predict
194710,Predict
194711,Predict
194712,Predict
194801,Predict
194802,Predict
194803,Predict
194804,Predict
194805,Predict
194806,Predict
194807,Predict
194808,Predict
194809,Predict
194810,Predict
194811,Predict
194812,Predict
194901,Predict
194902,Predict
194903,Predict
194904,Predict
194905,Predict
194906,Predict
194907,Predict
194908,Predict
194909,Predict
194910,Predict
194911,Predict
194912,Predict
195001,Predict
195002,Predict
195003,Predict
195004,Predict
195005,Predict
195006,Predict
195007,Predict
195008,Predict
195009,Predict
195010,Predict
195011,Predict
195012,Predict
195101,Predict
195102,Predict
195103,Predict
195104,Predict
195105,Predict
195106,Predict
195107,Predict
195108,Predict
195109,Predict
195110,Predict
195111,Predict
195112,Predict
195201,Predict
195202,Predict
195203,Predict
195204,Predict
195205,Predict
195206,Predict
195207,Predict
195208,Predict
195209,Predict
195210,Predict
195211,Predict
195212,Predict
195301,Predict
195302,Predict
195303,Predict
195304,Predict
195305,Predict
195306,Predict
195307,Predict
195308,Predict
195309,Predict
195310,Predict
195311,Predict
195312,Predict
195401,Predict
195402,Predict
195403,Predict
195404,Predict
195405,Predict
195406,Predict
195407,Predict
195408,Predict
195409,Predict
195410,Predict
195411,Predict
195412,Predict
195501,Predict
195502,Predict
195503,Predict
195504,Predict
195505,Predict
195506,Predict
195507,Predict
195508,Predict
195509,Predict
195510,Predict
195511,Predict
195512,Predict
195601,Predict
195602,Predict
195603,Predict
195604,Predict
195605,Predict
195606,Predict
195607,Predict
195608,Predict
195609,Predict
195610,Predict
195611,Predict
195612,Predict
195701,Predict
195702,Predict
195703,Predict
195704,Predict
195705,Predict
195706,Predict
195707,Predict
195708,Predict
195709,Predict
195710,Predict
195711,Predict
195712,Predict
195801,Predict
195802,Predict
195803,Predict
195804,Predict
195805,Predict
195806,Predict
195807,Predict
195808,Predict
195809,Predict
195810,Predict
195811,Predict
195812,Predict
195901,Predict
195902,Predict
195903,Predict
195904,Predict
195905,Predict
195906,Predict
195907,Predict
195908,Predict
195909,Predict
195910,Predict
195911,Predict
195912,Predict
196001,Predict
196002,Predict
196003,Predict
196004,Predict
196005,Predict
196006,Predict
196007,Predict
196008,Predict
196009,Predict
196010,Predict
196011,Predict
196012,Predict
196101,Predict
196102,Predict
196103,Predict
196104,Predict
196105,Predict
196106,Predict
196107,Predict
196108,Predict
196109,Predict
196110,Predict
196111,Predict
196112,Predict
196201,Predict
196202,Predict
196203,Predict
196204,Predict
196205,Predict
196206,Predict
196207,Predict
196208,Predict
196209,Predict
196210,Predict
196211,Predict
196212,Predict
196301,Predict
196302,Predict
196303,Predict
196304,Predict
196305,Predict
196306,Predict
196307,Predict
196308,Predict
196309,Predict
196310,Predict
196311,Predict
196312,Predict
196401,Predict
196402,Predict
196403,Predict
196404,Predict
196405,Predict
196406,Predict
196407,Predict
196408,Predict
196409,Predict
196410,Predict
196411,Predict
196412,Predict
196501,Predict
196502,Predict
196503,Predict
196504,Predict
196505,Predict
196506,Predict
196507,Predict
196508,Predict
196509,Predict
196510,Predict
196511,Predict
196512,Predict
196601,Predict
196602,Predict
196603,Predict
196604,Predict
196605,Predict
196606,Predict
196607,Predict
196608,Predict
196609,Predict
196610,Predict
196611,Predict
196612,Predict
196701,Predict
196702,Predict
196703,Predict
196704,Predict
196705,Predict
196706,Predict
196707,Predict
196708,Predict
196709,Predict
196710,Predict
196711,Predict
196712,Predict
196801,Predict
196802,Predict
196803,Predict
196804,Predict
196805,Predict
196806,Predict
196807,Predict
196808,Predict
196809,Predict
196810,Predict
196811,Predict
196812,Predict
196901,Predict
196902,Predict
196903,Predict
196904,Predict
196905,Predict
196906,Predict
196907,Predict
196908,Predict
196909,Predict
196910,Predict
196911,Predict
196912,Predict
197001,Predict
197002,Predict
197003,Predict
197004,Predict
197005,Predict
197006,Predict
197007,Predict
197008,Predict
197009,Predict
197010,Predict
197011,Predict
197012,Predict
197101,Predict
197102,Predict
197103,Predict
197104,Predict
197105,Predict
197106,Predict
197107,Predict
197108,Predict
197109,Predict
197110,Predict
197111,Predict
197112,Predict
197201,Predict
197202,Predict
197203,Predict
197204,Predict
197205,Predict
197206,Predict
197207,Predict
197208,Predict
197209,Predict
197210,Predict
197211,Predict
197212,Predict
197301,Predict
197302,Predict
197303,Predict
197304,Predict
197305,Predict
197306,Predict
197307,Predict
197308,Predict
197309,Predict
197310,Predict
197311,Predict
197312,Predict
197401,Predict
197402,Predict
197403,Predict
197404,Predict
197405,Predict
197406,Predict
197407,Predict
197408,Predict
197409,Predict
197410,Predict
197411,Predict
197412,Predict
197501,Predict
197502,Predict
197503,Predict
197504,Predict
197505,Predict
197506,Predict
197507,Predict
197508,Predict
197509,Predict
197510,Predict
197511,Predict
197512,Predict
197601,Predict
197602,Predict
197603,Predict
197604,Predict
197605,Predict
197606,Predict
197607,Predict
197608,Predict
197609,Predict
197610,Predict
197611,Predict
197612,Predict
197701,Predict
197702,Predict
197703,Predict
197704,Predict
197705,Predict
197706,Predict
197707,Predict
197708,Predict
197709,Predict
197710,Predict
197711,Predict
197712,Predict
197801,Predict
197802,Predict
197803,Predict
197804,Predict
197805,Predict
197806,Predict
197807,Predict
197808,Predict
197809,Predict
197810,Predict
197811,Predict
197812,Predict
197901,Predict
197902,Predict
197903,Predict
197904,Predict
197905,Predict
197906,Predict
197907,Predict
197908,Predict
197909,Predict
197910,Predict
197911,Predict
197912,Predict
198001,Predict
198002,Predict
198003,Predict
198004,Predict
198005,Predict
198006,Predict
198007,Predict
198008,Predict
198009,Predict
198010,Predict
198011,Predict
198012,Predict
198101,Predict
198102,Predict
198103,Predict
198104,Predict
198105,Predict
198106,Predict
198107,Predict
198108,Predict
198109,Predict
198110,Predict
198111,Predict
198112,Predict
198201,Predict
198202,Predict
198203,Predict
198204,Predict
198205,Predict
198206,Predict
198207,Predict
198208,Predict
198209,Predict
198210,Predict
198211,Predict
198212,Predict
198301,Predict
198302,Predict
198303,Predict
198304,Predict
198305,Predict
198306,Predict
198307,Predict
198308,Predict
198309,Predict
198310,Predict
198311,Predict
198312,Predict
198401,Predict
198402,Predict
198403,Predict
198404,Predict
198405,Predict
198406,Predict
198407,Predict
198408,Predict
198409,Predict
198410,Predict
198411,Predict
198412,Predict
198501,Predict
198502,Predict
198503,Predict
198504,Predict
198505,Predict
198506,Predict
198507,Predict
198508,Predict
198509,Predict
198510,Predict
198511,Predict
198512,Predict
198601,Predict
198602,Predict
198603,Predict
198604,Predict
198605,Predict
198606,Predict
198607,Predict
198608,Predict
198609,Predict
198610,Predict
198611,Predict
198612,Predict
198701,Predict
198702,Predict
198703,Predict
198704,Predict
198705,Predict
198706,Predict
198707,Predict
198708,Predict
198709,Predict
198710,Predict
198711,Predict
198712,Predict
198801,Predict
198802,Predict
198803,Predict
198804,Predict
198805,Predict
198806,Predict
198807,Predict
198808,Predict
198809,Predict
198810,Predict
198811,Predict
198812,Predict
198901,Predict
198902,Predict
198903,Predict
198904,Predict
198905,Predict
198906,Predict
198907,Predict
198908,Predict
198909,Predict
198910,Predict
198911,Predict
198912,Predict
199001,Predict
199002,Predict
199003,Predict
199004,Predict
199005,Predict
199006,Predict
199007,Predict
199008,Predict
199009,Predict
199010,Predict
199011,Predict
199012,Predict
199101,Predict
199102,Predict
199103,Predict
199104,Predict
199105,Predict
199106,Predict
199107,Predict
199108,Predict
199109,Predict
199110,Predict
199111,Predict
199112,Predict
199201,
199202,Predict
199203,Predict
199204,Predict
199205,Predict
199206,Predict
199207,Predict
199208,Predict
199209,Predict
199210,Predict
199211,Predict
199212,Predict
199301,Predict
199302,Predict
199303,Predict
199304,Predict
199305,Predict
199306,Predict
199307,Predict
199308,Predict
199309,Predict
199310,Predict
199311,Predict
199312,Predict
199401,Predict
199402,Predict
199403,Predict
199404,Predict
199405,Predict
199406,Predict
199407,Predict
199408,Predict
199409,Predict
199410,Predict
199411,Predict
199412,Predict
199501,Predict
199502,Predict
199503,Predict
199504,Predict
199505,Predict
199506,Predict
199507,Predict
199508,Predict
199509,Predict
199510,Predict
199511,Predict
199512,Predict
199601,Train
199602,Train
199603,Train
199604,Train
199605,Train
199606,Train
199607,Train
199608,Train
199609,Train
199610,Train
199611,Train
199612,Train
199701,Train
199702,Train
199703,Train
199704,Train
199705,Train
199706,Train
199707,Train
199708,Train
199709,Train
199710,Train
199711,Train
199712,Train
199801,Train
199802,Train
199803,Train
199804,Train
199805,Train
199806,Train
199807,Train
199808,Train
199809,Train
199810,Train
199811,Train
199812,Train
199901,Train
199902,Train
199903,Train
199904,Train
199905,Train
199906,Train
199907,Train
199908,Train
199909,Train
199910,Train
199911,Train
199912,Train
200001,Train
200002,Train
200003,Train
200004,Train
200005,Train
200006,Train
200007,Train
200008,Train
200009,Train
200010,Train
200011,Train
200012,Train
200101,Train
200102,Train
200103,Train
200104,Train
200105,Train
200106,Train
200107,Train
200108,Train
200109,Train
200110,Train
200111,Train
200112,Train
200201,Train
200202,Train
200203,Train
200204,Train
200205,Train
200206,Train
200207,Train
200208,Train
200209,Train
200210,Train
200211,Train
200212,Train
200301,Train
200302,Train
200303,Train
200304,Train
200305,Train
200306,Train
200307,Train
200308,Train
200309,Train
200310,Train
200311,Train
200312,Train
200401,Train
200402,Train
200403,Train
200404,Train
200405,Train
200406,Train
200407,Train
200408,Train
200409,Train
200410,Train
200411,Train
200412,Train
200501,Train
200502,Train
200503,Train
200504,Train
200505,Train
200506,Train
200507,Train
200508,Train
200509,Train
200510,Train
200511,Train
200512,Train
200601,Train
200602,Train
200603,Train
200604,Train
200605,Train
200606,Train
200607,Train
200608,Train
200609,Train
200610,Train
200611,Train
200612,Train
200701,Train
200702,Train
200703,Train
200704,Train
200705,Train
200706,Train
200707,Train
200708,Train
200709,Train
200710,Train
200711,Train
200712,Train
200801,Train
200802,Train
200803,Train
200804,Train
200805,Train
200806,Train
200807,Train
200808,Train
200809,Train
200810,Train
200811,Train
200812,Train
200901,Train
200902,Train
200903,Train
200904,Train
200905,Train
200906,Train
200907,Train
200908,Train
200909,Train
200910,Train
200911,Train
200912,Train
